latitude,longitude,altitude,geometry,No.,Name,Floor,X,Y,Z
-33.9181524284186,150.93023223003442,22.93,Point,20,R0372,F 3,308662.004,6244988.68,22.93
-33.9181524284186,150.93023223003442,25.93,Point,20,R0372,F 4,308662.004,6244988.68,25.93
-33.91812536344765,150.93008710162633,25.93,Point,21,R0372,F 4,308648.525,6244991.411,25.93
-33.91809078888439,150.92965573714412,13.93,Point,22,R0372,GF,308608.564,6244994.441,13.93
-33.91809078888439,150.92965573714412,16.93,Point,22,R0372,F 1,308608.564,6244994.441,16.93
-33.91809078888439,150.92965573714412,19.93,Point,22,R0372,F 2,308608.564,6244994.441,19.93
-33.91809078888439,150.92965573714412,22.93,Point,22,R0372,F 3,308608.564,6244994.441,22.93
-33.91809078888439,150.92965573714412,25.93,Point,22,R0372,F 4,308608.564,6244994.441,25.93
-33.91821635963104,150.92925757310795,16.93,Point,23,R0372,F 1,308572.031,6244979.772,16.93
-33.91821635963104,150.92925757310795,19.93,Point,23,R0372,F 2,308572.031,6244979.772,19.93
-33.91821635963104,150.92925757310795,22.93,Point,23,R0372,F 3,308572.031,6244979.772,22.93
-33.91821635963104,150.92925757310795,25.93,Point,23,R0372,F 4,308572.031,6244979.772,25.93
-33.918437404900516,150.9297523157102,13.93,Point,24,R0372,GF,308618.269,6244956.18,13.93
-33.918437404900516,150.9297523157102,16.93,Point,24,R0372,F 1,308618.269,6244956.18,16.93
-33.918437404900516,150.9297523157102,19.93,Point,24,R0372,F 2,308618.269,6244956.18,19.93
-33.918437404900516,150.9297523157102,22.93,Point,24,R0372,F 3,308618.269,6244956.18,22.93
-33.918437404900516,150.9297523157102,25.93,Point,24,R0372,F 4,308618.269,6244956.18,25.93
-33.91447001769144,150.9293184241883,20.51,Point,25,R0381,GF,308569.275,6245395.37,20.51
-33.914572773980694,150.9293822669188,20.51,Point,26,R0381,GF,308575.408,6245384.093,20.51
-33.91460463975738,150.92943536601868,20.51,Point,27,R0381,GF,308580.389,6245380.658,20.51
-33.91466529458258,150.9295307263085,20.51,Point,28,R0381,GF,308589.342,6245374.109,20.51
-33.9145423494538,150.9296706094989,20.51,Point,29,R0381,GF,308602.001,6245388.005,20.51
-33.914388348404664,150.92951976584965,20.51,Point,30,R0381,GF,308587.709,6245404.803,20.51
-33.91751482064501,150.9296213064232,17.2,Point,31,R0398,GF,308604.092,6245058.254,17.2
-33.91751482064501,150.9296213064232,20.2,Point,31,R0398,F 1,308604.092,6245058.254,20.2
-33.91751482064501,150.9296213064232,23.2,Point,31,R0398,F 2,308604.092,6245058.254,23.2
-33.91751482064501,150.9296213064232,26.2,Point,31,R0398,F 3,308604.092,6245058.254,26.2
-33.917553053516855,150.92941606574811,17.2,Point,32,R0398,GF,308585.201,6245053.631,17.2
-33.917553053516855,150.92941606574811,20.2,Point,32,R0398,F 1,308585.201,6245053.631,20.2
-33.917553053516855,150.92941606574811,23.2,Point,32,R0398,F 2,308585.201,6245053.631,23.2
-33.917553053516855,150.92941606574811,26.2,Point,32,R0398,F 3,308585.201,6245053.631,26.2
-33.917622529299194,150.9296091501733,17.2,Point,33,R0398,GF,308603.209,6245046.286,17.2
-33.917622529299194,150.9296091501733,20.2,Point,33,R0398,F 1,308603.209,6245046.286,20.2
-33.917622529299194,150.9296091501733,23.2,Point,33,R0398,F 2,308603.209,6245046.286,23.2
-33.917622529299194,150.9296091501733,26.2,Point,33,R0398,F 3,308603.209,6245046.286,26.2
-33.9175842961087,150.92981439094774,17.2,Point,34,R0398,GF,308622.1,6245050.909,17.2
-33.9175842961087,150.92981439094774,20.2,Point,34,R0398,F 1,308622.1,6245050.909,20.2
-33.9175842961087,150.92981439094774,23.2,Point,34,R0398,F 2,308622.1,6245050.909,23.2
-33.9175842961087,150.92981439094774,26.2,Point,34,R0398,F 3,308622.1,6245050.909,26.2
-33.91733464525952,150.92966892786424,17.38,Point,35,R0400,GF,308608.092,6245078.325,17.38
-33.91733464525952,150.92966892786424,20.38,Point,35,R0400,F 1,308608.092,6245078.325,20.38
-33.91733464525952,150.92966892786424,23.38,Point,35,R0400,F 2,308608.092,6245078.325,23.38
-33.91733464525952,150.92966892786424,26.38,Point,35,R0400,F 3,308608.092,6245078.325,26.38
-33.917372684966814,150.9294200302453,17.38,Point,36,R0400,GF,308585.164,6245073.642,17.38
-33.917372684966814,150.9294200302453,20.38,Point,36,R0400,F 1,308585.164,6245073.642,20.38
-33.917372684966814,150.9294200302453,23.38,Point,36,R0400,F 2,308585.164,6245073.642,23.38
-33.917372684966814,150.9294200302453,26.38,Point,36,R0400,F 3,308585.164,6245073.642,26.38
-33.91746419896576,150.92964803419804,17.38,Point,37,R0400,GF,308606.45,6245063.918,17.38
-33.91746419896576,150.92964803419804,20.38,Point,37,R0400,F 1,308606.45,6245063.918,20.38
-33.91746419896576,150.92964803419804,23.38,Point,37,R0400,F 2,308606.45,6245063.918,23.38
-33.91746419896576,150.92964803419804,26.38,Point,37,R0400,F 3,308606.45,6245063.918,26.38
-33.91742615880398,150.92989693200886,17.38,Point,38,R0400,GF,308629.378,6245068.601,17.38
-33.91742615880398,150.92989693200886,20.38,Point,38,R0400,F 1,308629.378,6245068.601,20.38
-33.91742615880398,150.92989693200886,23.38,Point,38,R0400,F 2,308629.378,6245068.601,23.38
-33.91742615880398,150.92989693200886,26.38,Point,38,R0400,F 3,308629.378,6245068.601,26.38
-33.91704422734964,150.9296225372101,18.12,Point,39,R0406,GF,308603.153,6245110.447,18.12
-33.91704422734964,150.9296225372101,21.12,Point,39,R0406,F 1,308603.153,6245110.447,21.12
-33.91704422734964,150.9296225372101,24.12,Point,39,R0406,F 2,308603.153,6245110.447,24.12
-33.91708206286196,150.92952501824635,18.12,Point,40,R0406,GF,308594.221,6245106.069,18.12
-33.91708206286196,150.92952501824635,21.12,Point,40,R0406,F 1,308594.221,6245106.069,21.12
-33.91708206286196,150.92952501824635,24.12,Point,40,R0406,F 2,308594.221,6245106.069,24.12
-33.917140151359746,150.92963720730836,18.12,Point,41,R0406,GF,308604.724,6245099.836,18.12
-33.917140151359746,150.92963720730836,21.12,Point,41,R0406,F 1,308604.724,6245099.836,21.12
-33.917140151359746,150.92963720730836,24.12,Point,41,R0406,F 2,308604.724,6245099.836,24.12
-33.91716218194662,150.9297322612028,18.12,Point,42,R0406,GF,308613.562,6245097.57,18.12
-33.91716218194662,150.9297322612028,21.12,Point,42,R0406,F 1,308613.562,6245097.57,21.12
